molecule_index,block_name,name,atoms,bonds
0,1843_actives_new_000000,"Largest isolated from Written by BCL::WriteToMDL,1830756",52,53
1,1843_actives_new_000001,"Largest isolated from Written by BCL::WriteToMDL,2234459",37,38
2,1843_actives_new_000002,"Largest isolated from Written by BCL::WriteToMDL,20937323",43,44
3,1843_actives_new_000003,"Largest isolated from Written by BCL::WriteToMDL,933649",47,48
4,1843_actives_new_000004,"Largest isolated from Written by BCL::WriteToMDL,2930814",38,39
5,1843_actives_new_000005,"Largest isolated from Written by BCL::WriteToMDL,3724094",43,46
6,1843_actives_new_000006,"Largest isolated from Written by BCL::WriteToMDL,11948866",44,44
7,1843_actives_new_000007,"Largest isolated from Written by BCL::WriteToMDL,24980797",52,53
8,1843_actives_new_000008,"Largest isolated from Written by BCL::WriteToMDL,2959070",44,45
9,1843_actives_new_000009,"Largest isolated from Written by BCL::WriteToMDL,24982334",51,53
10,1843_actives_new_000010,"Largest isolated from Written by BCL::WriteToMDL,23640915",54,57
11,1843_actives_new_000011,"Largest isolated from Written by BCL::WriteToMDL,6485989",49,52
12,1843_actives_new_000012,"Largest isolated from Written by BCL::WriteToMDL,2972188",38,40
13,1843_actives_new_000013,"Largest isolated from Written by BCL::WriteToMDL,2983087",47,49
14,1843_actives_new_000014,"Largest isolated from Written by BCL::WriteToMDL,661024",41,42
15,1843_actives_new_000015,"Largest isolated from Written by BCL::WriteToMDL,1167729",45,47
16,1843_actives_new_000016,"Largest isolated from Written by BCL::WriteToMDL,2463554",49,51
17,1843_actives_new_000017,"Largest isolated from Written by BCL::WriteToMDL,616271",48,50
18,1843_actives_new_000018,"Largest isolated from Written by BCL::WriteToMDL,973685",34,36
19,1843_actives_new_000019,"Largest isolated from Written by BCL::WriteToMDL,2122091",47,50
20,1843_actives_new_000020,"Largest isolated from Written by BCL::WriteToMDL,1263189",37,38
21,1843_actives_new_000021,"Largest isolated from Written by BCL::WriteToMDL,6602960",44,47
22,1843_actives_new_000022,"Largest isolated from Written by BCL::WriteToMDL,2984278",38,39
23,1843_actives_new_000023,"Largest isolated from Written by BCL::WriteToMDL,4009407",47,48
24,1843_actives_new_000024,"Largest isolated from Written by BCL::WriteToMDL,665176",43,45
25,1843_actives_new_000025,"Largest isolated from Written by BCL::WriteToMDL,660907",40,42
26,1843_actives_new_000026,"Largest isolated from Written by BCL::WriteToMDL,1488386",37,38
27,1843_actives_new_000027,"Largest isolated from Written by BCL::WriteToMDL,2977939",37,37
28,1843_actives_new_000028,"Largest isolated from Written by BCL::WriteToMDL,2386422",44,48
29,1843_actives_new_000029,"Largest isolated from Written by BCL::WriteToMDL,2935588",47,48
30,1843_actives_new_000030,"Largest isolated from Written by BCL::WriteToMDL,20118",37,38
31,1843_actives_new_000031,"Largest isolated from Written by BCL::WriteToMDL,6602913",33,35
32,1843_actives_new_000032,"Largest isolated from Written by BCL::WriteToMDL,2984034",40,41
33,1843_actives_new_000033,"Largest isolated from Written by BCL::WriteToMDL,801116",35,36
34,1843_actives_new_000034,"Largest isolated from Written by BCL::WriteToMDL,5413085",42,44
35,1843_actives_new_000035,"Largest isolated from Written by BCL::WriteToMDL,2984782",47,48
36,1843_actives_new_000036,"Largest isolated from Written by BCL::WriteToMDL,17367486",44,46
37,1843_actives_new_000037,"Largest isolated from Written by BCL::WriteToMDL,1483198",43,44
38,1843_actives_new_000038,"Largest isolated from Written by BCL::WriteToMDL,715695",38,40
39,1843_actives_new_000039,"Largest isolated from Written by BCL::WriteToMDL,6464138",38,39
40,1843_actives_new_000040,"Largest isolated from Written by BCL::WriteToMDL,2924017",52,54
41,1843_actives_new_000041,"Largest isolated from Written by BCL::WriteToMDL,667701",39,41
42,1843_actives_new_000042,"Largest isolated from Written by BCL::WriteToMDL,2935998",50,51
43,1843_actives_new_000043,"Largest isolated from Written by BCL::WriteToMDL,24746733",53,55
44,1843_actives_new_000044,"Largest isolated from Written by BCL::WriteToMDL,24746735",52,54
45,1843_actives_new_000045,"Largest isolated from Written by BCL::WriteToMDL,731799",44,46
