molecule_index,block_name,name,atoms,bonds
0,Aromatase_actives_new_000000,mol_000000,58,60
1,Aromatase_actives_new_000001,mol_000001,66,64
2,Aromatase_actives_new_000002,mol_000002,78,79
3,Aromatase_actives_new_000003,mol_000003,102,100
4,Aromatase_actives_new_000004,mol_000004,102,100
5,Aromatase_actives_new_000005,mol_000005,76,75
6,Aromatase_actives_new_000006,mol_000006,60,60
7,Aromatase_actives_new_000007,mol_000007,78,79
8,Aromatase_actives_new_000008,mol_000008,54,61
9,Aromatase_actives_new_000009,mol_000009,61,60
10,Aromatase_actives_new_000010,mol_000010,62,61
11,Aromatase_actives_new_000011,mol_000011,44,45
12,Aromatase_actives_new_000012,mol_000012,61,60
13,Aromatase_actives_new_000013,mol_000013,7,6
14,Aromatase_actives_new_000014,mol_000014,70,69
15,Aromatase_actives_new_000015,mol_000015,54,53
16,Aromatase_actives_new_000016,mol_000016,57,56
17,Aromatase_actives_new_000017,mol_000017,30,32
18,Aromatase_actives_new_000018,mol_000018,61,60
19,Aromatase_actives_new_000019,mol_000019,61,65
20,Aromatase_actives_new_000020,mol_000020,36,38
21,Aromatase_actives_new_000021,mol_000021,75,79
22,Aromatase_actives_new_000022,mol_000022,64,63
23,Aromatase_actives_new_000023,mol_000023,144,147
24,Aromatase_actives_new_000024,mol_000024,77,79
25,Aromatase_actives_new_000025,mol_000025,39,41
26,Aromatase_actives_new_000026,mol_000026,41,43
27,Aromatase_actives_new_000027,mol_000027,78,82
28,Aromatase_actives_new_000028,mol_000028,122,129
29,Aromatase_actives_new_000029,mol_000029,85,90
30,Aromatase_actives_new_000030,mol_000030,55,54
31,Aromatase_actives_new_000031,mol_000031,74,73
32,Aromatase_actives_new_000032,mol_000032,47,49
33,Aromatase_actives_new_000033,mol_000033,57,59
34,Aromatase_actives_new_000034,mol_000034,78,79
35,Aromatase_actives_new_000035,mol_000035,119,126
36,Aromatase_actives_new_000036,mol_000036,85,90
37,Aromatase_actives_new_000037,mol_000037,43,44
38,Aromatase_actives_new_000038,mol_000038,19,19
39,Aromatase_actives_new_000039,mol_000039,66,65
40,Aromatase_actives_new_000040,mol_000040,78,79
41,Aromatase_actives_new_000041,mol_000041,65,67
42,Aromatase_actives_new_000042,mol_000042,53,56
43,Aromatase_actives_new_000043,mol_000043,32,31
44,Aromatase_actives_new_000044,mol_000044,38,39
45,Aromatase_actives_new_000045,mol_000045,53,54
46,Aromatase_actives_new_000046,mol_000046,27,29
47,Aromatase_actives_new_000047,mol_000047,51,49
48,Aromatase_actives_new_000048,mol_000048,38,40
49,Aromatase_actives_new_000049,mol_000049,66,67
50,Aromatase_actives_new_000050,mol_000050,30,30
51,Aromatase_actives_new_000051,mol_000051,144,147
52,Aromatase_actives_new_000052,mol_000052,66,67
53,Aromatase_actives_new_000053,mol_000053,44,45
54,Aromatase_actives_new_000054,mol_000054,42,45
55,Aromatase_actives_new_000055,mol_000055,30,32
56,Aromatase_actives_new_000056,mol_000056,151,154
57,Aromatase_actives_new_000057,mol_000057,39,41
58,Aromatase_actives_new_000058,mol_000058,51,53
59,Aromatase_actives_new_000059,mol_000059,48,52
60,Aromatase_actives_new_000060,mol_000060,56,55
61,Aromatase_actives_new_000061,mol_000061,152,159
62,Aromatase_actives_new_000062,mol_000062,152,159
63,Aromatase_actives_new_000063,mol_000063,34,35
64,Aromatase_actives_new_000064,mol_000064,69,70
65,Aromatase_actives_new_000065,mol_000065,47,48
66,Aromatase_actives_new_000066,mol_000066,50,49
67,Aromatase_actives_new_000067,mol_000067,14,14
68,Aromatase_actives_new_000068,mol_000068,29,28
69,Aromatase_actives_new_000069,mol_000069,33,34
70,Aromatase_actives_new_000070,mol_000070,13,13
71,Aromatase_actives_new_000071,mol_000071,176,182
72,Aromatase_actives_new_000072,mol_000072,33,34
73,Aromatase_actives_new_000073,mol_000073,57,59
74,Aromatase_actives_new_000074,mol_000074,79,81
75,Aromatase_actives_new_000075,mol_000075,25,22
76,Aromatase_actives_new_000076,mol_000076,46,48
77,Aromatase_actives_new_000077,mol_000077,27,28
78,Aromatase_actives_new_000078,mol_000078,42,45
79,Aromatase_actives_new_000079,mol_000079,72,73
80,Aromatase_actives_new_000080,mol_000080,63,67
81,Aromatase_actives_new_000081,mol_000081,113,118
82,Aromatase_actives_new_000082,mol_000082,74,73
83,Aromatase_actives_new_000083,mol_000083,78,79
84,Aromatase_actives_new_000084,mol_000084,60,65
85,Aromatase_actives_new_000085,mol_000085,61,65
86,Aromatase_actives_new_000086,mol_000086,45,47
87,Aromatase_actives_new_000087,mol_000087,57,59
88,Aromatase_actives_new_000088,mol_000088,30,30
89,Aromatase_actives_new_000089,mol_000089,56,55
90,Aromatase_actives_new_000090,mol_000090,16,17
91,Aromatase_actives_new_000091,mol_000091,47,49
92,Aromatase_actives_new_000092,mol_000092,63,66
93,Aromatase_actives_new_000093,mol_000093,29,29
94,Aromatase_actives_new_000094,mol_000094,37,39
95,Aromatase_actives_new_000095,mol_000095,30,32
96,Aromatase_actives_new_000096,mol_000096,53,54
97,Aromatase_actives_new_000097,mol_000097,119,126
98,Aromatase_actives_new_000098,mol_000098,61,65
99,Aromatase_actives_new_000099,mol_000099,33,34
100,Aromatase_actives_new_000100,mol_000100,32,32
101,Aromatase_actives_new_000101,mol_000101,51,55
102,Aromatase_actives_new_000102,mol_000102,18,19
103,Aromatase_actives_new_000103,mol_000103,40,40
104,Aromatase_actives_new_000104,mol_000104,52,51
105,Aromatase_actives_new_000105,mol_000105,28,28
106,Aromatase_actives_new_000106,mol_000106,44,43
107,Aromatase_actives_new_000107,mol_000107,69,72
108,Aromatase_actives_new_000108,mol_000108,29,29
109,Aromatase_actives_new_000109,mol_000109,45,44
110,Aromatase_actives_new_000110,mol_000110,33,34
111,Aromatase_actives_new_000111,mol_000111,63,65
112,Aromatase_actives_new_000112,mol_000112,64,68
113,Aromatase_actives_new_000113,mol_000113,64,68
114,Aromatase_actives_new_000114,mol_000114,63,67
115,Aromatase_actives_new_000115,mol_000115,52,55
116,Aromatase_actives_new_000116,mol_000116,54,57
117,Aromatase_actives_new_000117,mol_000117,44,47
118,Aromatase_actives_new_000118,mol_000118,34,36
119,Aromatase_actives_new_000119,mol_000119,59,60
120,Aromatase_actives_new_000120,mol_000120,39,40
121,Aromatase_actives_new_000121,mol_000121,55,57
122,Aromatase_actives_new_000122,mol_000122,52,56
123,Aromatase_actives_new_000123,mol_000123,49,49
124,Aromatase_actives_new_000124,mol_000124,48,51
125,Aromatase_actives_new_000125,mol_000125,58,57
126,Aromatase_actives_new_000126,mol_000126,36,38
127,Aromatase_actives_new_000127,mol_000127,85,90
128,Aromatase_actives_new_000128,mol_000128,22,24
129,Aromatase_actives_new_000129,mol_000129,59,60
130,Aromatase_actives_new_000130,mol_000130,54,55
131,Aromatase_actives_new_000131,mol_000131,38,39
132,Aromatase_actives_new_000132,mol_000132,37,40
133,Aromatase_actives_new_000133,mol_000133,49,50
134,Aromatase_actives_new_000134,mol_000134,26,27
135,Aromatase_actives_new_000135,mol_000135,40,43
136,Aromatase_actives_new_000136,mol_000136,56,59
137,Aromatase_actives_new_000137,mol_000137,88,91
138,Aromatase_actives_new_000138,mol_000138,50,52
139,Aromatase_actives_new_000139,mol_000139,31,32
140,Aromatase_actives_new_000140,mol_000140,76,79
141,Aromatase_actives_new_000141,mol_000141,151,156
142,Aromatase_actives_new_000142,mol_000142,49,50
143,Aromatase_actives_new_000143,mol_000143,45,47
144,Aromatase_actives_new_000144,mol_000144,28,28
145,Aromatase_actives_new_000145,mol_000145,34,34
146,Aromatase_actives_new_000146,mol_000146,35,36
147,Aromatase_actives_new_000147,mol_000147,43,44
148,Aromatase_actives_new_000148,mol_000148,75,74
149,Aromatase_actives_new_000149,mol_000149,38,39
150,Aromatase_actives_new_000150,mol_000150,61,65
151,Aromatase_actives_new_000151,mol_000151,11,11
152,Aromatase_actives_new_000152,mol_000152,38,41
153,Aromatase_actives_new_000153,mol_000153,88,91
154,Aromatase_actives_new_000154,mol_000154,74,77
155,Aromatase_actives_new_000155,mol_000155,67,71
156,Aromatase_actives_new_000156,mol_000156,45,49
157,Aromatase_actives_new_000157,mol_000157,33,34
158,Aromatase_actives_new_000158,mol_000158,52,54
159,Aromatase_actives_new_000159,mol_000159,36,39
160,Aromatase_actives_new_000160,mol_000160,34,34
161,Aromatase_actives_new_000161,mol_000161,78,78
162,Aromatase_actives_new_000162,mol_000162,44,45
163,Aromatase_actives_new_000163,mol_000163,77,80
164,Aromatase_actives_new_000164,mol_000164,49,52
165,Aromatase_actives_new_000165,mol_000165,31,33
166,Aromatase_actives_new_000166,mol_000166,46,48
167,Aromatase_actives_new_000167,mol_000167,48,46
168,Aromatase_actives_new_000168,mol_000168,47,48
169,Aromatase_actives_new_000169,mol_000169,35,38
170,Aromatase_actives_new_000170,mol_000170,39,41
171,Aromatase_actives_new_000171,mol_000171,41,42
172,Aromatase_actives_new_000172,mol_000172,75,74
173,Aromatase_actives_new_000173,mol_000173,44,45
174,Aromatase_actives_new_000174,mol_000174,37,39
175,Aromatase_actives_new_000175,mol_000175,37,39
176,Aromatase_actives_new_000176,mol_000176,84,89
177,Aromatase_actives_new_000177,mol_000177,39,40
178,Aromatase_actives_new_000178,mol_000178,38,40
179,Aromatase_actives_new_000179,mol_000179,35,37
180,Aromatase_actives_new_000180,mol_000180,27,30
181,Aromatase_actives_new_000181,mol_000181,37,39
182,Aromatase_actives_new_000182,mol_000182,39,41
183,Aromatase_actives_new_000183,mol_000183,16,17
184,Aromatase_actives_new_000184,mol_000184,25,26
185,Aromatase_actives_new_000185,mol_000185,42,44
186,Aromatase_actives_new_000186,mol_000186,51,50
187,Aromatase_actives_new_000187,mol_000187,34,36
188,Aromatase_actives_new_000188,mol_000188,38,37
189,Aromatase_actives_new_000189,mol_000189,68,70
190,Aromatase_actives_new_000190,mol_000190,44,43
191,Aromatase_actives_new_000191,mol_000191,56,58
192,Aromatase_actives_new_000192,mol_000192,49,51
193,Aromatase_actives_new_000193,mol_000193,48,50
194,Aromatase_actives_new_000194,mol_000194,42,41
195,Aromatase_actives_new_000195,mol_000195,16,17
196,Aromatase_actives_new_000196,mol_000196,25,26
197,Aromatase_actives_new_000197,mol_000197,41,42
198,Aromatase_actives_new_000198,mol_000198,69,70
199,Aromatase_actives_new_000199,mol_000199,39,41
200,Aromatase_actives_new_000200,mol_000200,27,26
201,Aromatase_actives_new_000201,mol_000201,62,64
202,Aromatase_actives_new_000202,mol_000202,63,65
203,Aromatase_actives_new_000203,mol_000203,68,69
204,Aromatase_actives_new_000204,mol_000204,39,42
205,Aromatase_actives_new_000205,mol_000205,86,89
206,Aromatase_actives_new_000206,mol_000206,44,48
207,Aromatase_actives_new_000207,mol_000207,22,23
208,Aromatase_actives_new_000208,mol_000208,30,32
209,Aromatase_actives_new_000209,mol_000209,54,57
210,Aromatase_actives_new_000210,mol_000210,53,57
211,Aromatase_actives_new_000211,mol_000211,37,38
212,Aromatase_actives_new_000212,mol_000212,43,44
213,Aromatase_actives_new_000213,mol_000213,47,49
214,Aromatase_actives_new_000214,mol_000214,30,29
215,Aromatase_actives_new_000215,mol_000215,45,46
216,Aromatase_actives_new_000216,mol_000216,51,54
217,Aromatase_actives_new_000217,mol_000217,49,49
218,Aromatase_actives_new_000218,mol_000218,75,74
219,Aromatase_actives_new_000219,mol_000219,41,42
220,Aromatase_actives_new_000220,mol_000220,20,21
221,Aromatase_actives_new_000221,mol_000221,65,67
222,Aromatase_actives_new_000222,mol_000222,32,31
223,Aromatase_actives_new_000223,mol_000223,24,26
224,Aromatase_actives_new_000224,mol_000224,37,38
225,Aromatase_actives_new_000225,mol_000225,27,31
226,Aromatase_actives_new_000226,mol_000226,30,32
227,Aromatase_actives_new_000227,mol_000227,43,44
228,Aromatase_actives_new_000228,mol_000228,39,39
229,Aromatase_actives_new_000229,mol_000229,70,73
230,Aromatase_actives_new_000230,mol_000230,36,39
231,Aromatase_actives_new_000231,mol_000231,15,15
232,Aromatase_actives_new_000232,mol_000232,26,26
233,Aromatase_actives_new_000233,mol_000233,48,50
234,Aromatase_actives_new_000234,mol_000234,60,62
235,Aromatase_actives_new_000235,mol_000235,34,36
236,Aromatase_actives_new_000236,mol_000236,32,32
237,Aromatase_actives_new_000237,mol_000237,41,42
238,Aromatase_actives_new_000238,mol_000238,26,25
239,Aromatase_actives_new_000239,mol_000239,31,31
240,Aromatase_actives_new_000240,mol_000240,43,44
241,Aromatase_actives_new_000241,mol_000241,19,19
242,Aromatase_actives_new_000242,mol_000242,43,44
243,Aromatase_actives_new_000243,mol_000243,31,32
244,Aromatase_actives_new_000244,mol_000244,41,41
245,Aromatase_actives_new_000245,mol_000245,48,48
246,Aromatase_actives_new_000246,mol_000246,36,40
247,Aromatase_actives_new_000247,mol_000247,46,49
248,Aromatase_actives_new_000248,mol_000248,29,30
249,Aromatase_actives_new_000249,mol_000249,25,26
250,Aromatase_actives_new_000250,mol_000250,60,63
251,Aromatase_actives_new_000251,mol_000251,128,130
252,Aromatase_actives_new_000252,mol_000252,48,51
253,Aromatase_actives_new_000253,mol_000253,52,51
254,Aromatase_actives_new_000254,mol_000254,44,45
255,Aromatase_actives_new_000255,mol_000255,33,35
256,Aromatase_actives_new_000256,mol_000256,35,37
257,Aromatase_actives_new_000257,mol_000257,59,64
258,Aromatase_actives_new_000258,mol_000258,48,51
259,Aromatase_actives_new_000259,mol_000259,33,33
260,Aromatase_actives_new_000260,mol_000260,45,47
261,Aromatase_actives_new_000261,mol_000261,48,50
262,Aromatase_actives_new_000262,mol_000262,22,23
263,Aromatase_actives_new_000263,mol_000263,30,31
264,Aromatase_actives_new_000264,mol_000264,30,32
265,Aromatase_actives_new_000265,mol_000265,31,33
266,Aromatase_actives_new_000266,mol_000266,49,49
267,Aromatase_actives_new_000267,mol_000267,41,42
268,Aromatase_actives_new_000268,mol_000268,31,31
269,Aromatase_actives_new_000269,mol_000269,32,32
270,Aromatase_actives_new_000270,mol_000270,45,46
271,Aromatase_actives_new_000271,mol_000271,35,35
272,Aromatase_actives_new_000272,mol_000272,32,33
273,Aromatase_actives_new_000273,mol_000273,36,37
274,Aromatase_actives_new_000274,mol_000274,38,35
275,Aromatase_actives_new_000275,mol_000275,32,33
276,Aromatase_actives_new_000276,mol_000276,31,32
277,Aromatase_actives_new_000277,mol_000277,41,43
278,Aromatase_actives_new_000278,mol_000278,33,36
279,Aromatase_actives_new_000279,mol_000279,46,46
280,Aromatase_actives_new_000280,mol_000280,26,26
281,Aromatase_actives_new_000281,mol_000281,30,30
282,Aromatase_actives_new_000282,mol_000282,108,111
283,Aromatase_actives_new_000283,mol_000283,54,55
284,Aromatase_actives_new_000284,mol_000284,21,21
285,Aromatase_actives_new_000285,mol_000285,25,26
286,Aromatase_actives_new_000286,mol_000286,35,34
287,Aromatase_actives_new_000287,mol_000287,41,43
288,Aromatase_actives_new_000288,mol_000288,28,29
289,Aromatase_actives_new_000289,mol_000289,41,42
290,Aromatase_actives_new_000290,mol_000290,8,6
291,Aromatase_actives_new_000291,mol_000291,44,44
292,Aromatase_actives_new_000292,mol_000292,17,17
293,Aromatase_actives_new_000293,mol_000293,44,47
294,Aromatase_actives_new_000294,mol_000294,39,40
295,Aromatase_actives_new_000295,mol_000295,36,37
296,Aromatase_actives_new_000296,mol_000296,39,39
297,Aromatase_actives_new_000297,mol_000297,35,36
298,Aromatase_actives_new_000298,mol_000298,92,97
299,Aromatase_actives_new_000299,mol_000299,29,29
300,Aromatase_actives_new_000300,mol_000300,40,41
301,Aromatase_actives_new_000301,mol_000301,22,22
302,Aromatase_actives_new_000302,mol_000302,34,36
303,Aromatase_actives_new_000303,mol_000303,42,41
304,Aromatase_actives_new_000304,mol_000304,38,38
305,Aromatase_actives_new_000305,mol_000305,30,31
306,Aromatase_actives_new_000306,mol_000306,17,17
307,Aromatase_actives_new_000307,mol_000307,31,32
308,Aromatase_actives_new_000308,mol_000308,39,40
309,Aromatase_actives_new_000309,mol_000309,58,60
310,Aromatase_actives_new_000310,mol_000310,52,53
311,Aromatase_actives_new_000311,mol_000311,36,37
312,Aromatase_actives_new_000312,mol_000312,16,16
313,Aromatase_actives_new_000313,mol_000313,26,27
314,Aromatase_actives_new_000314,mol_000314,29,29
315,Aromatase_actives_new_000315,mol_000315,26,27
316,Aromatase_actives_new_000316,mol_000316,16,16
317,Aromatase_actives_new_000317,mol_000317,27,28
318,Aromatase_actives_new_000318,mol_000318,36,38
319,Aromatase_actives_new_000319,mol_000319,37,38
320,Aromatase_actives_new_000320,mol_000320,41,41
321,Aromatase_actives_new_000321,mol_000321,47,48
322,Aromatase_actives_new_000322,mol_000322,67,69
323,Aromatase_actives_new_000323,mol_000323,29,30
324,Aromatase_actives_new_000324,mol_000324,32,33
325,Aromatase_actives_new_000325,mol_000325,41,42
326,Aromatase_actives_new_000326,mol_000326,27,28
327,Aromatase_actives_new_000327,mol_000327,29,29
328,Aromatase_actives_new_000328,mol_000328,29,30
329,Aromatase_actives_new_000329,mol_000329,16,16
330,Aromatase_actives_new_000330,mol_000330,25,26
331,Aromatase_actives_new_000331,mol_000331,32,32
332,Aromatase_actives_new_000332,mol_000332,40,41
333,Aromatase_actives_new_000333,mol_000333,26,26
334,Aromatase_actives_new_000334,mol_000334,51,51
335,Aromatase_actives_new_000335,mol_000335,38,39
336,Aromatase_actives_new_000336,mol_000336,77,76
337,Aromatase_actives_new_000337,mol_000337,72,72
338,Aromatase_actives_new_000338,mol_000338,40,39
339,Aromatase_actives_new_000339,mol_000339,39,41
340,Aromatase_actives_new_000340,mol_000340,30,29
341,Aromatase_actives_new_000341,mol_000341,52,54
342,Aromatase_actives_new_000342,mol_000342,48,51
343,Aromatase_actives_new_000343,mol_000343,38,39
344,Aromatase_actives_new_000344,mol_000344,33,32
345,Aromatase_actives_new_000345,mol_000345,32,32
346,Aromatase_actives_new_000346,mol_000346,33,35
347,Aromatase_actives_new_000347,mol_000347,27,28
348,Aromatase_actives_new_000348,mol_000348,47,48
349,Aromatase_actives_new_000349,mol_000349,46,46
350,Aromatase_actives_new_000350,mol_000350,33,34
351,Aromatase_actives_new_000351,mol_000351,37,38
352,Aromatase_actives_new_000352,mol_000352,35,37
353,Aromatase_actives_new_000353,mol_000353,45,46
354,Aromatase_actives_new_000354,mol_000354,56,57
355,Aromatase_actives_new_000355,mol_000355,40,41
356,Aromatase_actives_new_000356,mol_000356,36,37
357,Aromatase_actives_new_000357,mol_000357,15,16
358,Aromatase_actives_new_000358,mol_000358,34,35
359,Aromatase_actives_new_000359,mol_000359,52,54
360,Aromatase_actives_new_000360,mol_000360,44,45
