molecule_index,block_name,name,atoms,bonds
0,Aromatase_inactives_new_000000,mol_000000,136,142
1,Aromatase_inactives_new_000001,mol_000001,37,41
2,Aromatase_inactives_new_000002,mol_000002,99,103
3,Aromatase_inactives_new_000003,mol_000003,116,124
4,Aromatase_inactives_new_000004,mol_000004,46,47
5,Aromatase_inactives_new_000005,mol_000005,63,67
6,Aromatase_inactives_new_000006,mol_000006,50,51
7,Aromatase_inactives_new_000007,mol_000007,74,76
8,Aromatase_inactives_new_000008,mol_000008,15,15
9,Aromatase_inactives_new_000009,mol_000009,66,69
10,Aromatase_inactives_new_000010,mol_000010,90,95
11,Aromatase_inactives_new_000011,mol_000011,37,41
12,Aromatase_inactives_new_000012,mol_000012,132,135
13,Aromatase_inactives_new_000013,mol_000013,40,42
14,Aromatase_inactives_new_000014,mol_000014,74,77
15,Aromatase_inactives_new_000015,mol_000015,44,43
16,Aromatase_inactives_new_000016,mol_000016,66,70
17,Aromatase_inactives_new_000017,mol_000017,40,42
18,Aromatase_inactives_new_000018,mol_000018,138,145
19,Aromatase_inactives_new_000019,mol_000019,126,129
20,Aromatase_inactives_new_000020,mol_000020,57,60
21,Aromatase_inactives_new_000021,mol_000021,54,56
22,Aromatase_inactives_new_000022,mol_000022,37,41
23,Aromatase_inactives_new_000023,mol_000023,56,55
24,Aromatase_inactives_new_000024,mol_000024,67,70
25,Aromatase_inactives_new_000025,mol_000025,32,34
26,Aromatase_inactives_new_000026,mol_000026,31,32
27,Aromatase_inactives_new_000027,mol_000027,28,29
28,Aromatase_inactives_new_000028,mol_000028,44,45
29,Aromatase_inactives_new_000029,mol_000029,14,14
30,Aromatase_inactives_new_000030,mol_000030,30,31
31,Aromatase_inactives_new_000031,mol_000031,126,130
32,Aromatase_inactives_new_000032,mol_000032,64,67
33,Aromatase_inactives_new_000033,mol_000033,57,60
34,Aromatase_inactives_new_000034,mol_000034,40,43
35,Aromatase_inactives_new_000035,mol_000035,14,14
36,Aromatase_inactives_new_000036,mol_000036,79,79
37,Aromatase_inactives_new_000037,mol_000037,37,38
38,Aromatase_inactives_new_000038,mol_000038,109,112
39,Aromatase_inactives_new_000039,mol_000039,73,75
40,Aromatase_inactives_new_000040,mol_000040,23,23
41,Aromatase_inactives_new_000041,mol_000041,74,74
42,Aromatase_inactives_new_000042,mol_000042,44,46
43,Aromatase_inactives_new_000043,mol_000043,58,59
44,Aromatase_inactives_new_000044,mol_000044,54,56
45,Aromatase_inactives_new_000045,mol_000045,30,31
46,Aromatase_inactives_new_000046,mol_000046,51,54
47,Aromatase_inactives_new_000047,mol_000047,76,80
48,Aromatase_inactives_new_000048,mol_000048,30,31
49,Aromatase_inactives_new_000049,mol_000049,76,78
50,Aromatase_inactives_new_000050,mol_000050,60,62
51,Aromatase_inactives_new_000051,mol_000051,60,62
52,Aromatase_inactives_new_000052,mol_000052,58,60
53,Aromatase_inactives_new_000053,mol_000053,54,55
54,Aromatase_inactives_new_000054,mol_000054,31,33
55,Aromatase_inactives_new_000055,mol_000055,52,54
56,Aromatase_inactives_new_000056,mol_000056,30,31
57,Aromatase_inactives_new_000057,mol_000057,28,29
58,Aromatase_inactives_new_000058,mol_000058,78,77
59,Aromatase_inactives_new_000059,mol_000059,113,119
60,Aromatase_inactives_new_000060,mol_000060,16,15
61,Aromatase_inactives_new_000061,mol_000061,30,32
62,Aromatase_inactives_new_000062,mol_000062,40,42
63,Aromatase_inactives_new_000063,mol_000063,79,85
64,Aromatase_inactives_new_000064,mol_000064,21,22
65,Aromatase_inactives_new_000065,mol_000065,52,55
66,Aromatase_inactives_new_000066,mol_000066,32,34
67,Aromatase_inactives_new_000067,mol_000067,40,40
68,Aromatase_inactives_new_000068,mol_000068,80,87
69,Aromatase_inactives_new_000069,mol_000069,52,56
70,Aromatase_inactives_new_000070,mol_000070,33,34
71,Aromatase_inactives_new_000071,mol_000071,14,13
72,Aromatase_inactives_new_000072,mol_000072,28,31
73,Aromatase_inactives_new_000073,mol_000073,111,116
74,Aromatase_inactives_new_000074,mol_000074,50,50
75,Aromatase_inactives_new_000075,mol_000075,35,35
76,Aromatase_inactives_new_000076,mol_000076,57,63
77,Aromatase_inactives_new_000077,mol_000077,50,50
78,Aromatase_inactives_new_000078,mol_000078,33,33
79,Aromatase_inactives_new_000079,mol_000079,28,28
80,Aromatase_inactives_new_000080,mol_000080,44,46
81,Aromatase_inactives_new_000081,mol_000081,91,93
82,Aromatase_inactives_new_000082,mol_000082,17,17
83,Aromatase_inactives_new_000083,mol_000083,51,53
84,Aromatase_inactives_new_000084,mol_000084,22,23
85,Aromatase_inactives_new_000085,mol_000085,62,65
86,Aromatase_inactives_new_000086,mol_000086,28,29
87,Aromatase_inactives_new_000087,mol_000087,52,52
88,Aromatase_inactives_new_000088,mol_000088,52,51
89,Aromatase_inactives_new_000089,mol_000089,57,59
90,Aromatase_inactives_new_000090,mol_000090,33,34
91,Aromatase_inactives_new_000091,mol_000091,69,72
92,Aromatase_inactives_new_000092,mol_000092,11,11
93,Aromatase_inactives_new_000093,mol_000093,20,21
94,Aromatase_inactives_new_000094,mol_000094,71,72
95,Aromatase_inactives_new_000095,mol_000095,74,76
96,Aromatase_inactives_new_000096,mol_000096,60,64
97,Aromatase_inactives_new_000097,mol_000097,45,47
98,Aromatase_inactives_new_000098,mol_000098,70,73
99,Aromatase_inactives_new_000099,mol_000099,48,50
100,Aromatase_inactives_new_000100,mol_000100,45,47
101,Aromatase_inactives_new_000101,mol_000101,40,41
102,Aromatase_inactives_new_000102,mol_000102,41,44
103,Aromatase_inactives_new_000103,mol_000103,49,53
104,Aromatase_inactives_new_000104,mol_000104,52,57
105,Aromatase_inactives_new_000105,mol_000105,57,57
106,Aromatase_inactives_new_000106,mol_000106,64,63
107,Aromatase_inactives_new_000107,mol_000107,27,28
108,Aromatase_inactives_new_000108,mol_000108,44,48
109,Aromatase_inactives_new_000109,mol_000109,37,38
110,Aromatase_inactives_new_000110,mol_000110,101,105
111,Aromatase_inactives_new_000111,mol_000111,61,58
112,Aromatase_inactives_new_000112,mol_000112,98,101
113,Aromatase_inactives_new_000113,mol_000113,30,31
114,Aromatase_inactives_new_000114,mol_000114,53,52
115,Aromatase_inactives_new_000115,mol_000115,46,47
116,Aromatase_inactives_new_000116,mol_000116,28,29
117,Aromatase_inactives_new_000117,mol_000117,38,40
118,Aromatase_inactives_new_000118,mol_000118,50,53
119,Aromatase_inactives_new_000119,mol_000119,42,45
120,Aromatase_inactives_new_000120,mol_000120,59,63
