molecule_index,name,atoms,bonds
0,"Largest isolated from Written by BCL::WriteToMDL,1830756",52,53
1,"Largest isolated from Written by BCL::WriteToMDL,2234459",37,38
2,"Largest isolated from Written by BCL::WriteToMDL,20937323",43,44
3,"Largest isolated from Written by BCL::WriteToMDL,933649",47,48
4,"Largest isolated from Written by BCL::WriteToMDL,2930814",38,39
5,"Largest isolated from Written by BCL::WriteToMDL,3724094",43,46
6,"Largest isolated from Written by BCL::WriteToMDL,11948866",44,44
7,"Largest isolated from Written by BCL::WriteToMDL,24980797",52,53
8,"Largest isolated from Written by BCL::WriteToMDL,2959070",44,45
9,"Largest isolated from Written by BCL::WriteToMDL,24982334",51,53
10,"Largest isolated from Written by BCL::WriteToMDL,23640915",54,57
11,"Largest isolated from Written by BCL::WriteToMDL,6485989",49,52
12,"Largest isolated from Written by BCL::WriteToMDL,2972188",38,40
13,"Largest isolated from Written by BCL::WriteToMDL,2983087",47,49
14,"Largest isolated from Written by BCL::WriteToMDL,661024",41,42
15,"Largest isolated from Written by BCL::WriteToMDL,1167729",45,47
16,"Largest isolated from Written by BCL::WriteToMDL,2463554",49,51
17,"Largest isolated from Written by BCL::WriteToMDL,616271",48,50
18,"Largest isolated from Written by BCL::WriteToMDL,973685",34,36
19,"Largest isolated from Written by BCL::WriteToMDL,2122091",47,50
20,"Largest isolated from Written by BCL::WriteToMDL,1263189",37,38
21,"Largest isolated from Written by BCL::WriteToMDL,6602960",44,47
22,"Largest isolated from Written by BCL::WriteToMDL,2984278",38,39
23,"Largest isolated from Written by BCL::WriteToMDL,4009407",47,48
24,"Largest isolated from Written by BCL::WriteToMDL,665176",43,45
25,"Largest isolated from Written by BCL::WriteToMDL,660907",40,42
26,"Largest isolated from Written by BCL::WriteToMDL,1488386",37,38
27,"Largest isolated from Written by BCL::WriteToMDL,2977939",37,37
28,"Largest isolated from Written by BCL::WriteToMDL,2386422",44,48
29,"Largest isolated from Written by BCL::WriteToMDL,2935588",47,48
30,"Largest isolated from Written by BCL::WriteToMDL,20118",37,38
31,"Largest isolated from Written by BCL::WriteToMDL,6602913",33,35
32,"Largest isolated from Written by BCL::WriteToMDL,2984034",40,41
33,"Largest isolated from Written by BCL::WriteToMDL,801116",35,36
34,"Largest isolated from Written by BCL::WriteToMDL,5413085",42,44
35,"Largest isolated from Written by BCL::WriteToMDL,2984782",47,48
36,"Largest isolated from Written by BCL::WriteToMDL,17367486",44,46
37,"Largest isolated from Written by BCL::WriteToMDL,1483198",43,44
38,"Largest isolated from Written by BCL::WriteToMDL,715695",38,40
39,"Largest isolated from Written by BCL::WriteToMDL,6464138",38,39
40,"Largest isolated from Written by BCL::WriteToMDL,2924017",52,54
41,"Largest isolated from Written by BCL::WriteToMDL,667701",39,41
42,"Largest isolated from Written by BCL::WriteToMDL,2935998",50,51
43,"Largest isolated from Written by BCL::WriteToMDL,24746733",53,55
44,"Largest isolated from Written by BCL::WriteToMDL,24746735",52,54
45,"Largest isolated from Written by BCL::WriteToMDL,731799",44,46
46,"Largest isolated from Written by BCL::WriteToMDL,1096489",37,39
47,"Largest isolated from Written by BCL::WriteToMDL,1320969",38,40
48,"Largest isolated from Written by BCL::WriteToMDL,6471104",46,48
49,"Largest isolated from Written by BCL::WriteToMDL,792502",45,47
50,"Largest isolated from Written by BCL::WriteToMDL,23723675",62,64
51,"Largest isolated from Written by BCL::WriteToMDL,2976394",45,46
52,"Largest isolated from Written by BCL::WriteToMDL,2838218",43,45
53,"Largest isolated from Written by BCL::WriteToMDL,6917789",43,44
54,"Largest isolated from Written by BCL::WriteToMDL,2962951",37,38
55,"Largest isolated from Written by BCL::WriteToMDL,225584",34,36
56,"Largest isolated from Written by BCL::WriteToMDL,70865",42,44
57,"Largest isolated from Written by BCL::WriteToMDL,3627083",46,47
58,"Largest isolated from Written by BCL::WriteToMDL,17123422",41,42
59,"Largest isolated from Written by BCL::WriteToMDL,3027783",42,43
60,"Largest isolated from Written by BCL::WriteToMDL,3665884",29,30
61,"Largest isolated from Written by BCL::WriteToMDL,3176404",45,47
62,"Largest isolated from Written by BCL::WriteToMDL,2976153",40,42
63,"Largest isolated from Written by BCL::WriteToMDL,2935593",49,50
64,"Largest isolated from Written by BCL::WriteToMDL,6898171",40,41
65,"Largest isolated from Written by BCL::WriteToMDL,1889549",50,52
66,"Largest isolated from Written by BCL::WriteToMDL,2933952",41,42
67,"Largest isolated from Written by BCL::WriteToMDL,18273725",38,39
68,"Largest isolated from Written by BCL::WriteToMDL,2973523",40,41
69,"Largest isolated from Written by BCL::WriteToMDL,1288666",46,48
70,"Largest isolated from Written by BCL::WriteToMDL,1125097",35,36
71,"Largest isolated from Written by BCL::WriteToMDL,2809964",47,48
72,"Largest isolated from Written by BCL::WriteToMDL,16248173",43,45
