molecule_index,name,atoms,bonds
0,mol_000000,58,60
1,mol_000001,66,64
2,mol_000002,78,79
3,mol_000003,102,100
4,mol_000004,102,100
5,mol_000005,76,75
6,mol_000006,60,60
7,mol_000007,78,79
8,mol_000008,54,61
9,mol_000009,61,60
10,mol_000010,62,61
11,mol_000011,44,45
12,mol_000012,61,60
13,mol_000013,7,6
14,mol_000014,70,69
15,mol_000015,54,53
16,mol_000016,57,56
17,mol_000017,30,32
18,mol_000018,61,60
19,mol_000019,61,65
20,mol_000020,36,38
21,mol_000021,75,79
22,mol_000022,64,63
23,mol_000023,144,147
24,mol_000024,77,79
25,mol_000025,39,41
26,mol_000026,41,43
27,mol_000027,78,82
28,mol_000028,122,129
29,mol_000029,85,90
30,mol_000030,55,54
31,mol_000031,74,73
32,mol_000032,47,49
33,mol_000033,57,59
34,mol_000034,78,79
35,mol_000035,119,126
36,mol_000036,85,90
37,mol_000037,43,44
38,mol_000038,19,19
39,mol_000039,66,65
40,mol_000040,78,79
41,mol_000041,65,67
42,mol_000042,53,56
43,mol_000043,32,31
44,mol_000044,38,39
45,mol_000045,53,54
46,mol_000046,27,29
47,mol_000047,51,49
48,mol_000048,38,40
49,mol_000049,66,67
50,mol_000050,30,30
51,mol_000051,144,147
52,mol_000052,66,67
53,mol_000053,44,45
54,mol_000054,42,45
55,mol_000055,30,32
56,mol_000056,151,154
57,mol_000057,39,41
58,mol_000058,51,53
59,mol_000059,48,52
60,mol_000060,56,55
61,mol_000061,152,159
62,mol_000062,152,159
63,mol_000063,34,35
64,mol_000064,69,70
65,mol_000065,47,48
66,mol_000066,50,49
67,mol_000067,14,14
68,mol_000068,29,28
69,mol_000069,33,34
70,mol_000070,13,13
71,mol_000071,176,182
72,mol_000072,33,34
73,mol_000073,57,59
74,mol_000074,79,81
75,mol_000075,25,22
76,mol_000076,46,48
77,mol_000077,27,28
78,mol_000078,42,45
79,mol_000079,72,73
80,mol_000080,63,67
81,mol_000081,113,118
82,mol_000082,74,73
83,mol_000083,78,79
84,mol_000084,60,65
85,mol_000085,61,65
86,mol_000086,45,47
87,mol_000087,57,59
88,mol_000088,30,30
89,mol_000089,56,55
90,mol_000090,16,17
91,mol_000091,47,49
92,mol_000092,63,66
93,mol_000093,29,29
94,mol_000094,37,39
95,mol_000095,30,32
96,mol_000096,53,54
97,mol_000097,119,126
98,mol_000098,61,65
99,mol_000099,33,34
100,mol_000100,32,32
101,mol_000101,51,55
102,mol_000102,18,19
103,mol_000103,40,40
104,mol_000104,52,51
105,mol_000105,28,28
106,mol_000106,44,43
107,mol_000107,69,72
108,mol_000108,29,29
109,mol_000109,45,44
110,mol_000110,33,34
111,mol_000111,63,65
112,mol_000112,64,68
113,mol_000113,64,68
114,mol_000114,63,67
115,mol_000115,52,55
116,mol_000116,54,57
117,mol_000117,44,47
118,mol_000118,34,36
119,mol_000119,59,60
120,mol_000120,39,40
121,mol_000121,55,57
122,mol_000122,52,56
123,mol_000123,49,49
124,mol_000124,48,51
125,mol_000125,58,57
126,mol_000126,36,38
127,mol_000127,85,90
128,mol_000128,22,24
129,mol_000129,59,60
130,mol_000130,54,55
131,mol_000131,38,39
132,mol_000132,37,40
133,mol_000133,49,50
134,mol_000134,26,27
135,mol_000135,40,43
136,mol_000136,56,59
137,mol_000137,88,91
138,mol_000138,50,52
139,mol_000139,31,32
140,mol_000140,76,79
141,mol_000141,151,156
142,mol_000142,49,50
143,mol_000143,45,47
144,mol_000144,28,28
145,mol_000145,34,34
146,mol_000146,35,36
147,mol_000147,43,44
148,mol_000148,75,74
149,mol_000149,38,39
150,mol_000150,61,65
151,mol_000151,11,11
152,mol_000152,38,41
153,mol_000153,88,91
154,mol_000154,74,77
155,mol_000155,67,71
156,mol_000156,45,49
157,mol_000157,33,34
158,mol_000158,52,54
159,mol_000159,36,39
