bodyId,x,y,z
264014957,5305,20269,4480
264083994,11339,22506,4104
266187532,18800,28226,5232
266191395,3297,26425,17880
266527996,18552,27645,4752
266528078,16205,27720,5072
267223104,3281,26379,16668
268725517,31819,34626,19464
268731005,34402,33231,14688
294161385,18741,19570,4648
294436967,10834,14953,30976
295063181,6063,21133,5000
296139882,24339,32793,12280
296194535,18477,28116,4200
296851261,10284,32348,17896
297230760,20547,12087,14656
297239396,18366,14950,11920
297251714,19758,30075,6384
297572235,4505,25972,15816
297851977,2833,19353,16608
297908801,30749,13826,15480
297929815,19873,14654,10048
298240936,21273,20647,4728
298249624,18419,12947,12192
298258399,9186,12625,17096
298258513,18529,35592,20528
298262663,14359,17683,6616
298279629,18558,13608,12672
298586733,18103,14392,14560
298595196,13224,35028,23760
298595394,22984,33274,11688
298603730,9837,14300,10032
298612190,17526,22281,3872
298931773,21118,17961,5968
298957166,23699,32728,12088
298961895,17329,15560,10624
299272434,18581,18029,6568
299289811,16123,33625,13360
299613480,20993,31883,8048
299617849,17454,13356,15344
300968622,18809,15989,8992
301314150,13396,10225,15048
301314208,11450,11001,14888
301318641,18095,13445,10032
325484974,2265,24641,15312
325743813,5436,19985,4912
325814461,1906,14129,13176
325814784,2282,25277,16704
326119769,1556,24591,23344
326253554,22142,20149,5600
326504486,3937,26979,17872
326817334,5690,28209,18864
326849964,13753,33305,20568
327246381,19344,14402,10592
327499164,1087,21161,13672
327587580,18154,12438,11664
327587644,10162,30624,19520
327588446,10809,31947,20472
327843160,4036,26200,16360
327933208,18465,13668,12016
327933679,17811,15070,10928
327937328,11573,10181,22560
328179112,13286,33215,24400
328213227,21076,16253,8560
328253133,21100,32311,8888
328265281,3254,24607,15856
328533761,9151,14066,28208
328546871,21341,32471,8440
328559607,11939,10599,23952
328593903,18173,27203,4664
328601956,10182,12256,19352
328611004,6482,15483,9488
328611467,19305,15698,9808
328861282,2550,21189,15952
328905011,10554,16990,5904
328956505,8571,13330,12832
329211374,21129,19562,5072
329225149,1764,26918,23464
329435390,29809,32650,8736
329561615,14708,28833,6372
329578247,18041,29850,6272
329638509,12085,34769,19136
329897241,12379,34464,23792
330268940,2747,21291,16640
330303073,2675,25093,16080
330640381,2205,25219,16136
330661529,12605,35329,23800
331011085,21525,12437,14592
331662668,9764,14216,8168
331662710,8371,15870,8696
331662717,15338,13953,8784
331999156,19159,15133,7256
331999213,10051,13185,8352
332003629,14749,9831,13576
332007728,19550,15817,8112
332008063,18320,14899,8992
332340127,7234,14299,8256
332340236,13240,10910,13264
332344539,19384,13252,10288
332344592,19734,13675,10272
332344670,13535,15315,7160
332344760,18551,12552,10272
332344908,19136,15521,6968
332349228,12072,10670,14504
332349327,18062,14775,7936
332353106,14067,10777,15040
332353336,16152,10467,12688
332353438,15742,10429,12688
332353566,11575,14066,9104
332685594,14848,15105,7976
332685751,18452,14958,8224
332685755,18769,14482,9024
332689776,13874,11273,15040
332690153,18360,12949,10448
333030976,19119,13317,11248
333031114,15980,11362,10592
333039671,6201,15778,7488
354775482,9839,17481,5440
354779890,10422,17277,5312
356140121,8195,19127,5216
356153135,59,14708,11672
356429209,4333,19794,5712
356818551,8635,11798,15840
357146296,2709,14199,12440
357224041,2506,13028,11976
358264919,9489,19727,4376
359240396,9024,13893,13480
359586213,18702,34176,11536
359598627,22682,33661,11600
359892669,1867,25289,15216
359897288,14102,33122,23808
359913782,14772,31094,8400
359931311,12825,30019,8496
359974171,21833,20533,4416
360284300,1734,25556,21288
360578457,3149,27381,18368
360591860,11029,17059,6200
360660371,9775,13330,20488
360690414,11040,30689,19856
360914546,14074,33714,25216
360941147,20475,32939,9264
360958913,32826,33573,21496
361260110,13056,34815,24104
361312808,19470,11726,14056
361376643,24110,27948,6400
361722354,23292,32394,7488
361968122,8426,29411,12288
362020664,6309,13473,12776
362041442,14099,31183,9296
362395402,11773,34519,25064
362689128,14090,12110,9232
362693077,14078,10342,14776
362693473,12334,10807,13560
362697657,13190,10179,12896
362701764,10288,14371,7344
362701875,7459,13046,10216
362701969,11529,11970,14840
363029976,16939,12804,10064
363030024,17824,13101,10752
363030040,12244,10092,14872
363034211,6908,14793,8800
363034407,14298,10200,14016
363034501,19602,14488,9120
363038752,18822,14092,10432
363038831,11490,12102,13488
363042781,14260,13774,8608
363047222,13109,9985,13304
363370913,18280,14410,8960
363375247,12588,10266,15192
363375408,15656,15836,7864
363375475,18511,12623,11312
363384083,19212,15320,8040
363384138,13500,10990,14696
363387921,17824,13874,10080
363716151,18300,14139,9376
363716303,15275,10096,14376
363716362,11654,14815,8056
363724985,19078,14872,7608
363725201,19466,15864,7096
363725228,12967,14627,7672
363729312,13405,10646,12880
363729314,15508,10186,13056
364070309,10002,11071,15152
364070517,12308,13304,9040
364407023,18897,15458,7560
364411143,15590,10687,11376
385132611,9769,16575,5896
385158577,12751,16792,5760
386829647,5764,13712,18240
386833812,92,13890,11768
386833850,18259,17927,4720
387180498,2680,15869,8960
387568523,13411,23033,3988
387870860,1965,16134,9232
387952104,22689,11110,17592
388280381,8888,11194,17432
388284324,1835,25048,13600
388924424,4685,21681,6792
389195896,985,18032,10160
389199936,1551,15746,13008
389200241,3316,27705,20648
389205204,1711,24434,19296
389210230,3594,14392,14168
390024952,9933,12606,15120
390352384,10444,29815,11424
390590450,13692,18909,4748
390594712,12772,33997,25008
390603428,1567,25811,18880
390616496,32590,33573,21928
390641835,3989,21915,7168
391599963,3101,25585,16072
391604389,13673,33395,24288
391631218,2440,26829,18736
391716661,2092,24327,10904
391949576,12657,34439,24080
392325540,1420,21103,10352
392368893,5305,20543,5120
392389970,15913,34967,20152
392399005,25238,29361,7840
393051378,5670,19391,4624
393055504,5213,18522,4408
393063351,6155,12684,13256
393383025,10436,13423,8176
393387426,8515,14800,7888
393404592,28856,28584,5664
393736822,15901,10535,12352
393766777,11059,12985,14216
394060556,6348,12585,12856
394060620,8909,13782,9824
394064790,13685,12790,8544
394069210,14598,13603,8784
394073547,13281,14627,7992
394081878,8070,12055,14288
394397189,13222,10952,16264
394401778,18710,15804,8320
394414724,13833,10921,15488
394418743,12597,13147,8120
394755782,19635,14171,8736
394759837,17580,12637,10896
394764082,9286,14037,8016
394768379,15173,16392,9184
395105113,18618,15302,9904
415494049,11328,15534,6336
415511327,11878,16344,5992
415826533,10098,16034,6168
415835070,10945,16240,6000
415835178,10260,16471,5904
415848195,12479,15846,6368
415848228,12077,16080,6360
415852518,12955,15901,6328
415908516,18017,15697,6736
416189410,12271,17071,5616
416189500,13402,16030,6384
416508862,10154,16968,5632
416837168,7762,17686,5472
416876055,13729,17142,6448
417221397,15258,18362,6744
417558532,12513,20955,3904
417890128,65,14309,11256
418224293,2491,15300,9064
418511983,3869,20515,6224
418645869,19271,17952,6864
421041565,25008,33550,17656
421357275,11486,32341,17480
421620469,15572,30341,7408
421641859,8593,18036,6216
422682603,20570,35908,20656
422738252,10077,14964,9488
422751191,8671,15185,8760
423382015,7509,13310,14016
423442357,18571,14786,10704
423748579,22332,13513,12592
423770604,9470,14123,11848
423774471,5459,15006,10552
424089598,19767,15188,12448
424720670,23267,32719,10536
424754530,8651,11489,13776
424767514,18614,35832,19448
424781115,2404,23268,9176
424789697,21581,29092,5440
424793122,21205,12277,13880
425086851,12110,12525,8696
425112506,7640,14330,8080
425126008,12554,34304,21912
425276848,32605,15562,16184
425436170,15599,10644,14432
425445301,14344,15469,7024
425768768,7926,13871,8144
425768822,14863,15863,8976
425790257,2995,23785,20800
426139965,9367,15281,6752
426464004,10691,14252,8880
426477089,8724,12793,10456
446533552,10572,15975,6168
446826981,6145,15703,6336
446848967,6241,16636,5592
446883390,12613,16094,6640
447219992,11441,16230,6000
447224575,11844,16194,7168
447599745,15862,17325,6944
448204394,7935,17648,6872
448342846,21536,17607,7720
448869118,3828,20660,6904
448908723,1625,27444,20528
448908822,1079,16592,8992
448994377,18570,18674,5376
449205588,4210,22128,6624
449241371,3894,26466,18240
449634539,17411,22970,3252
449910481,2234,14927,9784
450583886,7027,18149,4888
450617762,3269,26939,20216
450635626,9222,17938,5200
450971893,18332,15730,11824
451049385,20635,10281,17368
451689001,22185,13374,16352
451947899,87,27004,18784
452029745,10271,12625,12992
452103083,18347,15784,10016
452694446,32377,33259,22232
452742028,22598,18547,9744
452971138,1243,20002,10112
453087379,14541,34714,19624
453320313,1033,27388,19248
453380528,20651,32856,8112
454002974,11589,33342,22872
454136171,16094,35047,17280
454252960,31919,34388,15368
454481372,16872,21923,3660
454787848,24784,17029,12032
455155337,14993,34297,20208
455159380,21450,36304,19312
455431209,21108,32885,9096
455793621,11282,12262,13920
455793743,18195,11528,10576
455793827,14508,10019,15168
455811760,6730,17822,5760
455815977,28066,31895,6008
456121649,11683,12823,8648
456134692,16059,15483,7912
456152222,5153,19810,4456
456152258,5772,18436,5080
456156825,6785,13384,11640
456174330,22471,35629,20104
456458549,14745,9559,13984
456462835,10468,15111,8904
456462919,10148,11615,14976
456467162,11413,11639,14224
456523994,15330,33085,21808
456808311,16555,12757,9712
456820863,19659,15334,8096
456833888,3933,19787,17772
456846996,22528,33384,11064
457175171,4944,14600,10400
457196643,7316,12858,12904
457507485,17296,15018,9536
457516092,15145,27764,5580
476545134,11635,14427,7176
477179700,6615,15105,7352
477262101,15375,15620,7480
477572961,12136,15663,7024
477861840,5804,16299,5552
477896729,9866,16241,7112
477900945,9233,17578,6624
477900959,9163,17669,6144
477909602,10652,16050,6704
477909679,9688,17495,5984
477909698,8718,17504,5960
478250407,10044,17144,6032
478250482,11316,16977,5540
478591447,8675,18142,5568
478613576,16696,17524,6208
