bodyId,x,y,z
720575940602553568,172750,31059,4404
720575940602564320,163288,31776,4478
720575940602605536,164256,42728,5027
720575940603050668,154320,30528,4770
720575940603084972,170908,29926,4405
720575940603174368,143368,25576,3861
720575940603642982,164128,31800,4709
720575940603673120,152816,41592,5153
720575940603674656,157448,30552,4767
720575940603688224,151128,26664,4083
720575940603719712,148392,25424,4071
720575940603721248,157584,40976,5135
720575940603747616,164184,42416,5126
720575940603751782,159368,44120,4960
720575940603773798,152944,29040,4121
720575940604008672,152864,28624,3939
720575940604319078,163312,28368,4247
720575940604483040,154280,27464,4034
720575940604489649,161848,41232,5202
720575940604630496,159328,32864,4974
720575940604766153,156240,43088,5189
720575940604770249,163592,31096,4695
720575940604806345,166280,29264,4515
720575940604884396,151016,39264,5154
720575940604934572,153744,29072,4327
720575940604963942,141880,25432,3498
720575940605029250,164102,27118,4347
720575940605036418,165864,30824,4242
720575940605167025,152640,25024,4137
720575940605180337,165264,31600,4486
720575940605350066,148384,29400,4043
720575940605362610,147840,30248,4273
720575940605451552,154496,29344,4673
720575940605507249,154280,31000,4861
720575940605541920,163730,30298,4662
720575940605552742,149264,36336,4981
720575940605597216,144064,27720,3786
720575940605627057,167133,28432,4395
720575940605725873,146832,35904,4625
720575940605792434,161496,40280,5200
720575940605817522,160968,40744,5233
720575940605934001,155792,28136,4639
720575940605997257,167056,30552,4486
720575940605997513,152872,28016,4576
720575940606331996,150712,29736,4392
720575940606341250,152016,30808,4552
720575940606399068,157432,30688,4452
720575940606452681,160344,43136,4948
720575940606454108,160816,42376,4919
720575940606483467,167440,32008,4429
720575940606483723,157568,28952,4549
720575940606496011,156024,27800,4253
720575940606549961,149456,28432,4299
720575940606579465,152656,26000,4299
720575940606666953,155024,25888,4091
720575940606680706,154304,24720,4098
720575940606698697,148064,26288,4202
720575940606783362,172832,33456,4487
720575940606864341,153160,30504,4353
720575940606891221,169244,29079,4363
720575940606892162,166832,32848,4621
720575940606893186,148120,29472,3934
720575940606902741,152256,43632,5126
720575940606947714,152544,45000,5344
720575940606963586,146376,23392,3622
720575940606967730,156912,37256,5160
720575940606968450,155216,25816,4266
720575940606968962,149800,25912,3839
720575940607030281,155080,29000,4435
720575940607054770,159624,43960,5331
720575940607280306,156288,29840,4290
720575940607310531,162048,28936,4506
720575940607330499,158512,27096,4472
720575940607337155,157840,42528,5237
720575940607337923,158160,41376,5082
720575940607351747,163496,43032,5069
720575940607352003,153784,30048,4721
720575940607715420,148128,29776,4601
720575940607804939,154520,27392,4162
720575940607971908,159191,29800,4667
720575940607978820,157880,46832,5147
720575940607981636,161776,43320,5001
720575940607984651,150920,26424,3891
720575940607993668,172584,32744,4454
720575940608145877,149936,32168,4690
720575940608148693,156216,25824,4263
720575940608191836,170416,28064,4114
720575940608281180,171440,27784,4017
720575940608383243,161408,38440,5081
720575940608433476,164064,28256,4531
720575940608447241,173872,32992,4455
720575940608505795,155824,28600,4377
720575940608517385,152008,36904,5214
720575940608527150,162318,31996,4857
720575940608550409,158376,36840,5174
720575940608621614,168600,31992,4570
720575940608633134,157288,29552,4497
720575940608655918,152216,38224,5156
720575940608657621,146536,26552,4201
720575940608662485,169760,31632,4356
720575940608662574,145728,30912,4277
