fly_A_neuron,fly_B_neuron
1016506999,720575940618704043
1068613231,720575940639056061
1078693835,720575940625721866
1080579786,720575940622891277
1109957857,720575940619154891
1141972158,720575940610029432
1142019868,720575940613421890
1142024290,720575940626772357
1200687913,720575940621638593
1203752767,720575940628361802
1263832477,720575940611244530
1267868586,720575940627964204
1296524721,720575940612707811
1298152448,720575940612662499
1451695303,720575940631260716
1977916288,720575940632173103
333035349,720575940633043295
363034501,720575940629392439
363725228,720575940615918593
364411143,720575940616133789
394414724,720575940620326253
454252960,720575940630001464
488184014,720575940628640079
507592981,720575940641780187
508616471,720575940612623474
549572017,720575940625503979
550081666,720575940644711328
5812979558,720575940635618711
5812980370,720575940622012073
5812980566,720575940621547015
5812980588,720575940624296376
5812980973,720575940630947395
5812981279,720575940610888562
5812981702,720575940622844903
5812981947,720575940654535329
5812982011,720575940617844509
5812982118,720575940625365512
5812982149,720575940619564709
5812982252,720575940629020794
5812982420,720575940626700889
5812982492,720575940625901002
5812982505,720575940629532098
5812982999,720575940626316802
5812983147,720575940617036729
5812983309,720575940623506134
5812983423,720575940639358579
5812983522,720575940633145996
5813019607,720575940606454108
5813019774,720575940626768656
5813020047,720575940627292218
5813021261,720575940621244429
5813021336,720575940629103468
5813021382,720575940620407628
5813021469,720575940625939801
5813021647,720575940643063200
5813021772,720575940606039241
5813047763,720575940622939124
5813050820,720575940629708994
5813055048,720575940636045175
5813056372,720575940635606167
5813057468,720575940633551028
5813062830,720575940615263931
5813067817,720575940619336942
5813067836,720575940616881409
5813068729,720575940646667828
5813068969,720575940629863737
5813085240,720575940605960626
5813093544,720575940622727572
5813110161,720575940621558366
5813112511,720575940612927213
5813114253,720575940618396399
5901225361,720575940616878238
612323667,720575940638278333
643535876,720575940623464316
645090294,720575940629539628
662711769,720575940617577702
666135689,720575940631965357
692818802,720575940636553646
693790141,720575940639602493
693794431,720575940637169015
694139687,720575940624837453
723508086,720575940627576488
736122569,720575940629432124
754202022,720575940618266491
784541732,720575940628367836
799586652,720575940621913897
799901370,720575940627115343
847302850,720575940618224709
858725815,720575940620033601
861285250,720575940624594154
879032295,720575940620333958
909717461,720575940631336930
939030036,720575940637824575
939738473,720575940636616670
973816592,720575940625561374
