G_Node,H_Node,Match_Value
12,50,1.0
26,127,1.0
27,282,1.0
32,73,1.0
34,62,1.0
50,68,1.0
52,74,1.0
53,26,1.0
58,34,1.0
60,350,1.0
62,224,1.0
63,547,1.0
67,299,1.0
68,109,1.0
69,95,1.0
73,950,1.0
74,97,1.0
80,422,1.0
95,204,1.0
97,168,1.0
99,69,1.0
101,415,1.0
102,250,1.0
105,391,1.0
109,1237,1.0
114,319,1.0
124,278,1.0
128,131,1.0
131,379,1.0
132,405,1.0
135,161,1.0
142,294,1.0
143,339,1.0
144,140,1.0
145,58,1.0
152,244,1.0
161,318,1.0
168,135,1.0
172,400,1.0
175,209,1.0
177,337,1.0
181,3,1.0
184,114,1.0
189,60,1.0
191,440,1.0
193,311,1.0
194,48,1.0
199,492,1.0
201,172,1.0
204,638,1.0
209,386,1.0
211,514,1.0
212,302,1.0
214,174,1.0
220,252,1.0
221,437,1.0
224,177,1.0
228,194,1.0
233,482,1.0
236,409,1.0
242,124,1.0
244,306,1.0
249,214,1.0
250,658,1.0
252,1260,1.0
254,191,1.0
257,372,1.0
260,132,1.0
263,431,1.0
272,358,1.0
277,51,1.0
278,392,1.0
282,307,1.0
283,142,1.0
288,281,1.0
289,646,1.0
294,439,1.0
296,221,1.0
297,378,1.0
298,52,1.0
299,1000,1.0
303,242,1.0
306,309,1.0
307,710,1.0
308,462,1.0
309,425,1.0
311,342,1.0
312,102,1.0
313,560,1.0
314,101,1.0
316,1231,1.0
318,536,1.0
319,175,1.0
324,143,1.0
325,582,1.0
332,413,1.0
334,41,1.0
335,313,1.0
337,228,1.0
338,817,1.0
339,990,1.0
341,546,1.0
342,189,1.0
343,396,1.0
346,494,1.0
349,30,1.0
350,799,1.0
353,272,1.0
357,407,1.0
358,193,1.0
364,88,1.0
367,389,1.0
368,967,1.0
375,44,1.0
376,90,1.0
377,364,1.0
379,144,1.0
386,283,1.0
388,783,1.0
389,598,1.0
392,296,1.0
394,402,1.0
396,343,1.0
398,53,1.0
400,793,1.0
402,184,1.0
405,605,1.0
407,649,1.0
409,975,1.0
413,423,1.0
415,325,1.0
422,794,1.0
439,555,1.0
447,368,1.0
448,145,1.0
462,353,1.0
465,263,1.0
468,377,1.0
469,211,1.0
474,801,1.0
475,762,1.0
479,766,1.0
481,725,1.0
483,321,1.0
494,1026,1.0
495,834,1.0
502,314,1.0
503,607,1.0
504,781,1.0
509,1118,1.0
513,1215,1.0
523,460,1.0
527,1021,1.0
532,469,1.0
536,1246,1.0
538,518,1.0
542,36,1.0
544,966,1.0
546,652,1.0
547,1023,1.0
549,260,1.0
551,569,1.0
555,1004,1.0
557,1056,1.0
560,1227,1.0
567,502,1.0
569,933,1.0
573,830,1.0
576,448,1.0
582,642,1.0
583,758,1.0
586,739,1.0
588,540,1.0
590,673,1.0
592,338,1.0
594,625,1.0
596,388,1.0
598,349,1.0
603,868,1.0
605,859,1.0
607,843,1.0
615,465,1.0
617,479,1.0
620,788,1.0
621,316,1.0
626,317,1.0
632,797,1.0
638,332,1.0
639,212,1.0
640,1039,1.0
642,573,1.0
644,639,1.0
646,741,1.0
649,1069,1.0
654,201,1.0
658,1060,1.0
673,1214,1.0
679,1127,1.0
681,687,1.0
683,1190,1.0
687,1244,1.0
701,712,1.0
706,503,1.0
710,551,1.0
712,777,1.0
713,821,1.0
714,928,1.0
719,970,1.0
726,523,1.0
728,513,1.0
733,498,1.0
738,964,1.0
739,312,1.0
749,1036,1.0
753,1043,1.0
766,809,1.0
768,346,1.0
777,1185,1.0
779,335,1.0
783,835,1.0
788,847,1.0
792,567,1.0
794,1068,1.0
797,542,1.0
801,1181,1.0
810,1236,1.0
814,991,1.0
815,474,1.0
821,289,1.0
822,1105,1.0
834,940,1.0
835,822,1.0
840,1117,1.0
843,714,1.0
852,1153,1.0
859,852,1.0
868,726,1.0
871,779,1.0
878,800,1.0
912,841,1.0
913,234,1.0
919,765,1.0
933,1168,1.0
938,749,1.0
942,1217,1.0
949,1033,1.0
950,236,1.0
958,609,1.0
964,994,1.0
966,1167,1.0
967,288,1.0
970,481,1.0
975,367,1.0
983,654,1.0
986,429,1.0
991,468,1.0
993,504,1.0
994,768,1.0
997,993,1.0
1000,704,1.0
1004,599,1.0
1013,713,1.0
1018,398,1.0
1021,456,1.0
1032,590,1.0
1033,509,1.0
1034,701,1.0
1036,1052,1.0
1039,728,1.0
1052,938,1.0
1056,1032,1.0
1068,620,1.0
1069,595,1.0
1072,831,1.0
1079,1013,1.0
1097,592,1.0
1105,549,1.0
1132,884,1.0
1136,393,1.0
1138,815,1.0
1142,840,1.0
1153,986,1.0
1168,1253,1.0
1181,919,1.0
1183,99,1.0
1184,1132,1.0
1185,181,1.0
1189,615,1.0
1190,711,1.0
1196,588,1.0
1214,376,1.0
1215,983,1.0
1217,324,1.0
1231,527,1.0
1237,632,1.0
1244,621,1.0
1246,1138,1.0
1253,913,1.0
1255,586,1.0
1260,1158,1.0
